STT,Phân loại,Loại Hàng,Độ mạ,Độ dày,Độ Mác thép,Mã màu,Khối lượng,Met A,Met B,Met C,Tỷ trọng thực tế,Tên màu,Khổ (mm),Ngày bán,Thành Tiền,Khu Vực (Quận/Huyện),Tỉnh / Thành Phố_x,Năm,Tháng,Ngày,Thứ,Cuối tuần,Tuần trong tháng,Quý,Mùa,Doanh thu trên mỗi kg sản phẩm,Doanh thu trên mỗi mm khổ,Mức_độ_dày,Phân loại độ dày vật lý,Dòng sản phẩm,Nhóm độ dày SKU,Cấp chất lượng vật liệu,Mã màu chuẩn hóa,Khổ sản phẩm (mm),Mã_sản_phẩm,Doanh thu trung bình mỗi lần bán,Số ngày giữa 2 đơn liên tiếp,Tổng số giao dịch của sản phẩm,Tổng doanh thu sản phẩm,Doanh thu trung bình mỗi lần bán,Số ngày giữa 2 đơn liên tiếp,Tổng doanh thu sản phẩm,Mã khách hàng,Loại khách,Tỉnh / Thành Phố_y,Tên_khách_hàng,Phân khúc sản phẩm,Mức rủi ro giao dịch,Độ phức tạp bảo hành,Mức độ khiếu nại,Cờ giao hàng trễ,Cờ khiếu nại lặp lại,Cờ giao dịch bất thường,% đóng góp doanh thu,Tỷ lệ chi phí ước tính,Biên lợi nhuận ước tính,Điểm hài lòng KH (proxy)
29,1,GL,AZ080,0.35,G550,,4040,1570,0,2,2.569974555,,1200,8/16/2025,85191480,Huyện Long Hồ,Vĩnh Long,2025,8,16,Saturday,TRUE,3,2025Q3,Mùa mưa,21087,70992.9,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0015,Retail,Bình Thuận,Đại lý VLXD Hưng Thịnh - Bình Thuận,Standard,High,Medium,High,0,0,0,0.1003629423,0.6312473085,0.3687526915,70
30,1,GL,AZ080,0.35,G550,,4120,1606,0,2,2.562189055,,1200,8/16/2025,86878440,Huyện Long Hồ,Vĩnh Long,2025,8,16,Saturday,TRUE,3,2025Q3,Mùa mưa,21087,72398.7,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0054,Partner,Tỉnh Khánh Hòa,Xưởng VLXD An Phát - Tỉnh Khánh Hòa,Standard,Low,Medium,Low,0,0,0,0.1023503273,0.6312473085,0.3687526915,85
67,1,GL,AZ080,0.3,G550,,4260,1922,0,2,2.214137214,,1200,8/18/2025,95636574,TP. Biên Hòa,Đồng Nai,2025,8,18,Monday,FALSE,3,2025Q3,Mùa mưa,22449.9,79697.145,Mỏng,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,2,133,11121469464,83620071.15,22.16666667,8377944669,CUST_0107,Retail,Phú Yên,Đại lý VLXD Nam Việt - Phú Yên,Economy,Medium,Low,Low,0,0,0,0.1126681678,0.8487299164,0.1512700836,85
77,1,GL,AZ080,0.3,G550,,3930,1774,0,2,2.212837838,,1200,8/20/2025,87104127,Quận Tân Phú,TP. Hồ Chí Minh,2025,8,20,Wednesday,FALSE,3,2025Q3,Mùa mưa,22163.9,72586.7725,Mỏng,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,2,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0060,Retail,Bình Dương,Đại lý VLXD Bình Minh - Bình Dương,Economy,Low,Low,Low,0,0,0,0.1026162062,0.8487299164,0.1512700836,85
78,1,GL,AZ080,0.35,G550,,4110,1610,0,2,2.549627792,,1200,8/20/2025,86120529,Quận Tân Phú,TP. Hồ Chí Minh,2025,8,20,Wednesday,FALSE,3,2025Q3,Mùa mưa,20953.9,71767.1075,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,0,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0101,Retail,Vĩnh Long,Đại lý VLXD Minh Phát - Vĩnh Long,Economy,Medium,Low,Medium,0,0,0,0.1014574425,0.8487299164,0.1512700836,85
80,1,GL,AZ080,0.35,G550,,4080,1594,0,2,2.556390977,,1200,8/20/2025,88615560,Huyện Cẩm Mỹ,Đồng Nai,2025,8,20,Wednesday,FALSE,3,2025Q3,Mùa mưa,21719.5,73846.3,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,0,133,11121469464,83620071.15,22.16666667,8377944669,CUST_0097,Retail,Đồng Nai,Đại lý VLXD Việt Thành - Đồng Nai,Economy,Medium,Low,Low,0,0,0,0.1043968052,0.8487299164,0.1512700836,85
83,1,GL,AZ080,0.3,G550,,4290,1938,0,2,2.211340206,,1200,8/20/2025,96583773,Quận Tân Phú,TP. Hồ Chí Minh,2025,8,20,Wednesday,FALSE,3,2025Q3,Mùa mưa,22513.7,80486.4775,Mỏng,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,0,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0008,Partner,Phú Yên,Xưởng VLXD Hoàng Gia - Phú Yên,Premium,High,High,High,0,0,0,0.1137840503,0.5533159006,0.4466840994,75
85,1,GL,AZ080,0.35,G550,,4090,1594,0,2,2.562656642,,1200,8/20/2025,88832755,Quận Tân Phú,TP. Hồ Chí Minh,2025,8,20,Wednesday,FALSE,3,2025Q3,Mùa mưa,21719.5,74027.29583,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,0,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0053,Partner,Bình Định,Xưởng VLXD An Phát - Bình Định,Standard,Low,Medium,Medium,0,0,0,0.1046526797,0.6312473085,0.3687526915,85
102,1,GL,AZ080,0.3,G550,,3950,1774,0,2,2.224099099,,1200,8/22/2025,85361870,TX. Phú Mỹ,Bà Rịa - Vũng Tàu,2025,8,22,Friday,FALSE,4,2025Q3,Mùa mưa,21610.6,71134.89167,Mỏng,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,272804510,2,133,11121469464,83620071.15,22.16666667,4092565301,CUST_0060,Retail,Bình Dương,Đại lý VLXD Bình Minh - Bình Dương,Economy,Medium,Low,Low,1,0,0,0.1005636765,0.8487299164,0.1512700836,75
104,1,GL,AZ080,0.3,G550,,3920,1770,0,2,2.212189616,,1200,8/22/2025,84713552,TX. Phú Mỹ,Bà Rịa - Vũng Tàu,2025,8,22,Friday,FALSE,4,2025Q3,Mùa mưa,21610.6,70594.62667,Mỏng,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,272804510,0,133,11121469464,83620071.15,22.16666667,4092565301,CUST_0108,Wholesale,Tỉnh Khánh Hòa,Công ty TNHH VLXD Tân Thành - Tỉnh Khánh Hòa,Standard,Medium,Medium,Low,0,0,0,0.09979990177,0.6312473085,0.3687526915,85
87,1,GL,AZ080,0.3,G550,,4480,2022,0,2,2.213438735,,1200,8/23/2025,102729088,TP. Thủ Đức,TP. Hồ Chí Minh,2025,8,23,Saturday,TRUE,4,2025Q3,Mùa mưa,22930.6,85607.57333,Mỏng,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,272804510,1,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0108,Wholesale,Tỉnh Khánh Hòa,Công ty TNHH VLXD Tân Thành - Tỉnh Khánh Hòa,Standard,Medium,Medium,Low,0,0,0,0.1210237636,0.6312473085,0.3687526915,85
129,1,GL,AZ080,0.35,G550,,4130,1610,0,2,2.562034739,,1200,8/29/2025,87325546,TP. Tân Uyên,Bình Dương,2025,8,29,Friday,FALSE,5,2025Q3,Mùa mưa,21144.2,72771.28833,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,87325546,6,133,11121469464,83620071.15,22.16666667,10689658678,CUST_0005,Retail,Bình Dương,Đại lý VLXD Hưng Thịnh - Bình Dương,Economy,Low,Low,Medium,0,0,0,0.1028770569,0.8487299164,0.1512700836,85
151,1,GL,AZ080,0.35,G550,,4120,1610,0,2,2.555831266,,1200,9/6/2025,86103468,Quận Bình Tân,TP. Hồ Chí Minh,2025,9,6,Saturday,TRUE,1,2025Q3,Mùa mưa,20898.9,71752.89,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,86103468,8,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0103,Retail,TP. Hồ Chí Minh,Đại lý VLXD Thịnh Vượng - TP. Hồ Chí Minh,Economy,Medium,Low,Low,1,0,0,0.1014373432,0.8487299164,0.1512700836,75
187,1,GL,AZ080,0.3,G550,,3860,1742,0,2,2.213302752,,1200,9/17/2025,80869316,Quận Tân Phú,TP. Hồ Chí Minh,2025,9,17,Wednesday,FALSE,3,2025Q3,Mùa mưa,20950.6,67391.09667,Mỏng,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,169781216,11,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0068,Wholesale,Phú Yên,Công ty TNHH VLXD An Phát - Phú Yên,Premium,High,High,High,0,1,0,0.09527105879,0.5533159006,0.4466840994,60
192,1,GL,AZ080,0.35,G550,,4200,1634,0,2,2.567237164,,1200,9/19/2025,88911900,TP. Quy Nhơn,Bình Định,2025,9,19,Friday,FALSE,3,2025Q3,Mùa mưa,21169.5,74093.25,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,169781216,2,133,11121469464,83620071.15,22.16666667,6068560773,CUST_0006,Retail,Bình Dương,Đại lý VLXD Thịnh Vượng - Bình Dương,Economy,Medium,Low,Medium,0,0,0,0.1047459194,0.8487299164,0.1512700836,85
218,1,GL,AZ080,0.35,G550,,4060,1582,0,2,2.563131313,,1200,9/30/2025,80588970,Quận Tân Phú,TP. Hồ Chí Minh,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,19849.5,67157.475,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,11,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0109,Retail,Long An,Đại lý VLXD Tân Thành - Long An,Economy,Low,Low,Low,0,0,0,0.09494078692,0.8487299164,0.1512700836,85
219,1,GL,AZ080,0.35,G550,,4070,1590,0,2,2.556532663,,1200,9/30/2025,85806182,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,71505.15167,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0096,Retail,Gia Lai,Đại lý VLXD Phúc Lộc - Gia Lai,Economy,Low,Low,Medium,0,0,0,0.1010871145,0.8487299164,0.1512700836,85
220,1,GL,AZ080,0.35,G550,,4070,1590,0,2,2.556532663,,1200,9/30/2025,85806182,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,71505.15167,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0116,Partner,Bình Định,Xưởng VLXD Minh Phát - Bình Định,Standard,Medium,Medium,Low,0,0,0,0.1010871145,0.6312473085,0.3687526915,85
221,1,GL,AZ080,0.35,G550,,4090,1598,0,2,2.55625,,1200,9/30/2025,86227834,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,71856.52833,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0094,Retail,TP. Hồ Chí Minh,Đại lý VLXD Phú Cường - TP. Hồ Chí Minh,Economy,Low,Low,Low,0,0,0,0.1015838571,0.8487299164,0.1512700836,85
222,1,GL,AZ080,0.35,G550,,4090,1594,0,2,2.562656642,,1200,9/30/2025,86227834,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,71856.52833,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0047,Retail,Bình Dương,Đại lý VLXD An Phát - Bình Dương,Economy,Low,Low,Low,0,0,0,0.1015838571,0.8487299164,0.1512700836,85
223,1,GL,AZ080,0.35,G550,,3840,1482,0,2,2.587601078,,1200,9/30/2025,80957184,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,67464.32,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0099,Retail,Gia Lai,Đại lý VLXD Việt Thành - Gia Lai,Economy,Low,Low,Medium,0,0,0,0.0953745749,0.8487299164,0.1512700836,85
224,1,GL,AZ080,0.35,G550,,4180,1614,0,2,2.586633663,,1200,9/30/2025,88125268,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,73437.72333,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0055,Retail,Vĩnh Long,Đại lý VLXD Bình Minh - Vĩnh Long,Standard,Low,Medium,Low,1,0,0,0.1038191987,0.6312473085,0.3687526915,75
225,1,GL,AZ080,0.35,G550,,4230,1634,0,2,2.585574572,,1200,9/30/2025,89179398,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,74316.165,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0040,Retail,Phú Yên,Đại lý VLXD Thịnh Vượng - Phú Yên,Standard,Low,Medium,Medium,0,0,0,0.1050610552,0.6312473085,0.3687526915,85
226,1,GL,AZ080,0.35,G550,,3860,1494,0,2,2.580213904,,1200,9/30/2025,81378836,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,67815.69667,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0052,Wholesale,Gia Lai,Công ty TNHH VLXD Hoàng Gia - Gia Lai,Premium,Medium,High,High,0,1,0,0.09587131748,0.5533159006,0.4466840994,60
227,1,GL,AZ080,0.35,G550,,4140,1602,0,2,2.581047382,,1200,9/30/2025,87281964,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,72734.97,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0016,Retail,Phú Yên,Đại lý VLXD Hoàng Gia - Phú Yên,Economy,Low,Low,Low,0,0,0,0.1028257136,0.8487299164,0.1512700836,85
228,1,GL,AZ080,0.35,G550,,4190,1618,0,2,2.586419753,,1200,9/30/2025,88336094,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,73613.41167,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0013,Wholesale,Tỉnh Khánh Hòa,Công ty TNHH VLXD Minh Phát - Tỉnh Khánh Hòa,Standard,Low,Medium,Medium,0,0,0,0.10406757,0.6312473085,0.3687526915,85
229,1,GL,AZ080,0.35,G550,,4140,1602,0,2,2.581047382,,1200,9/30/2025,87281964,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,72734.97,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0114,Wholesale,Vĩnh Long,Công ty TNHH VLXD Phúc Lộc - Vĩnh Long,Premium,High,High,Medium,1,0,0,0.1028257136,0.5533159006,0.4466840994,80
230,1,GL,AZ080,0.35,G550,,4100,1594,0,2,2.568922306,,1200,9/30/2025,86438660,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,72032.21667,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0106,Retail,Bà Rịa - Vũng Tàu,Đại lý VLXD Phúc Lộc - Bà Rịa - Vũng Tàu,Economy,Low,Low,Low,0,0,0,0.1018322284,0.8487299164,0.1512700836,85
231,1,GL,AZ080,0.35,G550,,4020,1566,0,2,2.56377551,,1200,9/30/2025,84752052,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,70626.71,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0030,Retail,Gia Lai,Đại lý VLXD Bình Minh - Gia Lai,Economy,Low,Low,Low,0,0,0,0.0998452581,0.8487299164,0.1512700836,85
232,1,GL,AZ080,0.35,G550,,4050,1578,0,2,2.563291139,,1200,9/30/2025,85384530,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,71153.775,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0019,Retail,Bình Dương,Đại lý VLXD An Phát - Bình Dương,Economy,Low,Low,Medium,0,0,0,0.100590372,0.8487299164,0.1512700836,85
233,1,GL,AZ080,0.35,G550,,4010,1562,0,2,2.563938619,,1200,9/30/2025,84541226,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,21082.6,70451.02167,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0017,Retail,Long An,Đại lý VLXD Nam Việt - Long An,Economy,Low,Low,Low,0,0,0,0.09959688681,0.8487299164,0.1512700836,85
234,1,GL,AZ080,0.3,G550,,4720,2130,0,2,2.213883677,,1200,9/30/2025,104707064,Huyện Long Hồ,Vĩnh Long,2025,9,30,Tuesday,FALSE,5,2025Q3,Mùa mưa,22183.7,87255.88667,Mỏng,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,2428245666,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0120,Retail,Vĩnh Long,Đại lý VLXD Hoàng Gia - Vĩnh Long,Standard,High,Medium,Medium,0,0,1,0.1233539907,0.6312473085,0.3687526915,85
