STT;Phân loại;Loại Hàng;Độ M;Độ D;Độ MT;Mã màu;Khối lượng;Met A;Met B;Met C;Tỷ trọng thực tế;Tên màu;Khổ (mm);Ngày bán;Thành Tiền;Khu Vực (Quận/Huyện);Tỉnh / Thành Phố;Năm;Tháng;Ngày;Thứ;Cuối_tuần;Tuần_trong_tháng;Quý;Mùa;Giá_trên_kg;Doanh_thu_trên_mm;Mức_độ_dày;Mức_độ_cứng;SKU_Dòng;SKU_Độ_dày;SKU_Màu;Mã_sản_phẩm;Doanh_thu_theo_tuan_trong_thang;Khoảng_cách_đơn_trước;Số_lần_bán_sản_phẩm;Tổng_doanh_thu_sản_phẩm;Doanh_thu_tb_mỗi_lần;Tần_suất_bán;Doanh_thu_tỉnh;Mã_khách_hàng;Loại_khách_hàng;Tên_khách_hàng;Phân_khúc_sản_phẩm;Mức_rủi_ro_giao_dịch;Độ_phức_tạp_bảo_hành;Mức_độ_khiếu_nại;Khoảng_cách_vận_chuyển_km;Cờ_giao_hàng_trễ;Cờ_khiếu_nại_lặp_lại;Cờ_giao_dịch_bất_thường;Tỷ_trọng_doanh_thu_%;Tỷ_lệ_chi_phí;Ước_tính_biên_lợi_nhuận;Điểm_hài_lòng_khách_hàng
415;1;GL;AZ080;0.4;G550;;1770;578;0;2;3.051724138;;1200;2025-10-24;35896839;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;20281;29914;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0044;Đối tác;Xưởng VLXD Phúc - Bình Định;Cao cấp;Trung bình;Cao;Trung bình;414;0;1;0;0.042289586;0.575456562;0.424543438;70
416;1;GL;AZ080;0.4;G550;;4140;1358;0;2;3.044117647;;1200;2025-10-24;83998530;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;20290;69999;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0029;Bán lẻ;Đại lý VLXD Nam - Bình Dương;Phổ thông;Trung bình;Thấp;Thấp;195;0;0;0;0.098957544;0.799316774;0.200683226;85
417;1;GL;AZ080;0.4;G550;;4050;1330;0;2;3.040540541;;1200;2025-10-24;82168020;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;20288;68473;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0013;Bán sỉ;Công ty VLXD Long - Tỉnh Khánh Hòa;Tiêu chuẩn;Trung bình;Trung bình;Trung bình;128;0;0;0;0.096801045;0.736889902;0.263110098;90
426;1;GL;AZ080;0.4;G550;;4050;1274;0;2;3.173981191;;1200;2025-10-24;79561845;TP. Quy Nhơn;Bình Định;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19645;66302;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;6068560773;CUST_0012;Đối tác;Xưởng VLXD Phát - Đồng Nai;Tiêu chuẩn;Trung bình;Trung bình;Thấp;161;1;1;0;0.093730745;0.731069204;0.268930796;65
427;1;GL;AZ080;0.4;G550;;3980;1254;0;2;3.168789809;;1200;2025-10-24;78186702;TP. Quy Nhơn;Bình Định;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19645;65156;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;6068560773;CUST_0095;Bán sỉ;Công ty VLXD Long - Tỉnh Khánh Hòa;Tiêu chuẩn;Thấp;Trung bình;Trung bình;412;1;0;0;0.092110707;0.675273056;0.324726944;80
428;1;GL;AZ080;0.4;G550;;3680;1162;0;2;3.161512027;;1200;2025-10-24;72293232;TP. Quy Nhơn;Bình Định;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19645;60244;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;6068560773;CUST_0046;Bán sỉ;Công ty VLXD Dũng - Bà Rịa - Vũng Tàu;Cao cấp;Trung bình;Cao;Cao;414;1;1;0;0.085167689;0.565646945;0.434353055;45
429;1;GL;AZ080;0.4;G550;;4530;1434;0;2;3.1545961;;1200;2025-10-24;88996380;TP. Quy Nhơn;Bình Định;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19646;74164;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;6068560773;CUST_0002;Đối tác;Xưởng VLXD Minh - Tỉnh Khánh Hòa;Cao cấp;Cao;Cao;Cao;300;1;1;0;0.104845444;0.550953893;0.449046107;45
430;1;GL;AZ080;0.4;G550;;4590;1454;0;2;3.152472527;;1200;2025-10-24;90175140;TP. Quy Nhơn;Bình Định;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19646;75146;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;6068560773;CUST_0115;Bán sỉ;Công ty VLXD Đạt - Bình Thuận;Cao cấp;Trung bình;Cao;Cao;402;0;1;0;0.106234125;0.607852916;0.392147084;55
434;1;GL;AZ080;0.45;G550;;4300;1182;0;2;3.631756757;;1200;2025-10-24;82108070;TP. Quy Nhơn;Bình Định;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19095;68423;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;6068560773;CUST_0114;Bán sỉ;Công ty VLXD Minh - Vĩnh Long;Tiêu chuẩn;Cao;Trung bình;Cao;82;0;1;0;0.096730418;0.64304802;0.35695198;60
435;1;GL;AZ080;0.45;G550;;4300;1178;0;2;3.644067797;;1200;2025-10-24;82108070;TP. Quy Nhơn;Bình Định;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19095;68423;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;6068560773;CUST_0035;Đối tác;Xưởng VLXD Minh - Bình Dương;Tiêu chuẩn;Thấp;Trung bình;Trung bình;285;0;0;0;0.096730418;0.637483141;0.362516859;90
437;1A;GL;AZ100;0.4;G550;;4270;1262;8;2;3.356918239;;1200;2025-10-24;84701001;Quận Bình Tân;TP. Hồ Chí Minh;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19836;70584;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0087;Bán sỉ;Công ty VLXD Nam - Tỉnh Khánh Hòa;Cao cấp;Trung bình;Cao;Trung bình;119;0;0;0;0.099785116;0.553437484;0.446562516;85
439;1;GL;AZ080;0.5;G550;;4220;1006;0;2;4.186507937;;1200;2025-10-24;83040738;Quận Bình Tân;TP. Hồ Chí Minh;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;19678;69201;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0081;Đối tác;Xưởng VLXD Khánh - Vĩnh Long;Cao cấp;Trung bình;Cao;Cao;138;1;1;0;0.097829182;0.526582259;0.473417741;45
440;1;GL;AZ080;0.4;G550;;4230;1330;0;2;3.175675676;;1200;2025-10-24;87895170;Quận Bình Tân;TP. Hồ Chí Minh;2025;10;24;Thứ 6;False;4;2025Q4;Mùa mưa;20779;73246;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1110401787.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0090;Bán lẻ;Đại lý VLXD Hải - Bình Dương;Tiêu chuẩn;Trung bình;Trung bình;Thấp;586;1;0;0;0.103548123;0.704267972;0.295732028;80
455;1;GL;AZ080;0.4;G550;;1270;418;0;2;3.023809524;;1200;2025-10-30;25288494;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19912;21074;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;6;199;15628940014.0;78537387;48;42799130622;CUST_0008;Đối tác;Xưởng VLXD Khánh - Phú Yên;Cao cấp;Trung bình;Cao;Trung bình;201;1;1;0;0.029792036;0.592436097;0.407563903;60
456;1;GL;AZ080;0.4;G550;;3940;1302;0;2;3.021472393;;1200;2025-10-30;78501742;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19924;65418;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0093;Bán sỉ;Công ty VLXD Phát - Long An;Cao cấp;Cao;Cao;Cao;558;1;0;0;0.092481852;0.57243178;0.42756822;60
457;1;GL;AZ080;0.4;G550;;3740;1226;0;2;3.045602606;;1200;2025-10-30;74516882;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19924;62097;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0026;Bán sỉ;Công ty VLXD Minh - Long An;Tiêu chuẩn;Trung bình;Trung bình;Thấp;175;0;0;0;0.087787341;0.658548867;0.341451133;90
458;1;GL;AZ080;0.4;G550;;3970;1302;0;2;3.044478528;;1200;2025-10-30;79099471;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19924;65916;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0074;Bán sỉ;Công ty VLXD Phát - Vĩnh Long;Tiêu chuẩn;Cao;Trung bình;Cao;493;1;1;1;0.093186028;0.736359381;0.263640619;50
459;1;GL;AZ080;0.45;G550;;4570;1298;0;2;3.515384615;;1200;2025-10-30;88545578;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19375;73788;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0090;Bán lẻ;Đại lý VLXD Hải - Bình Dương;Tiêu chuẩn;Thấp;Trung bình;Thấp;314;1;1;0;0.10431436;0.604368568;0.395631432;65
460;1;GL;AZ080;0.45;G550;;4430;1246;0;10;3.527070064;;1200;2025-10-30;85720943;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19350;71434;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0034;Đối tác;Xưởng VLXD Minh - Đồng Nai;Cao cấp;Cao;Cao;Cao;141;0;1;0;0.100986696;0.615366162;0.384633838;55
461;1;GL;AZ080;0.45;G550;;4450;1258;0;2;3.531746032;;1200;2025-10-30;86215635;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19374;71846;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0115;Bán sỉ;Công ty VLXD Đạt - Bình Thuận;Tiêu chuẩn;Trung bình;Trung bình;Thấp;335;0;0;0;0.101569486;0.735286436;0.264713564;90
462;1;GL;AZ080;0.45;G550;;3590;1010;0;2;3.54743083;;1200;2025-10-30;69549788;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19373;57958;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0105;Đối tác;Xưởng VLXD Tú - Bà Rịa - Vũng Tàu;Tiêu chuẩn;Trung bình;Trung bình;Thấp;427;0;0;0;0.081935674;0.666953187;0.333046813;90
463;1;GL;AZ080;0.45;G550;;1210;342;0;2;3.51744186;;1200;2025-10-30;23424269;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19359;19520;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0007;Bán lẻ;Đại lý VLXD Nam - Long An;Phổ thông;Trung bình;Thấp;Thấp;203;1;1;0;0.027595818;0.782603574;0.217396426;60
464;1;GL;AZ080;0.45;G550;;4200;1154;0;2;3.633217993;;1200;2025-10-30;81372060;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;19374;67810;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0068;Bán sỉ;Công ty VLXD Bình - Phú Yên;Tiêu chuẩn;Trung bình;Trung bình;Thấp;561;1;0;0;0.095863335;0.741669553;0.258330447;80
465;1;GL;AZ080;0.5;G550;;3410;818;0;2;4.158536585;;1200;2025-10-30;64183361;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;18822;53486;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0058;Bán lẻ;Đại lý VLXD Minh - Bình Thuận;Phổ thông;Thấp;Thấp;Thấp;396;0;0;0;0.075613559;0.731841627;0.268158373;85
466;1;GL;AZ080;0.5;G550;;3690;886;0;2;4.155405405;;1200;2025-10-30;69453549;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;18822;57878;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0117;Bán sỉ;Công ty VLXD Long - Bình Thuận;Tiêu chuẩn;Thấp;Trung bình;Thấp;583;1;0;0;0.081822296;0.678020227;0.321979773;80
467;1;GL;AZ080;0.5;G550;;4160;998;0;2;4.16;;1200;2025-10-30;78304512;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;18823;65254;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0114;Bán sỉ;Công ty VLXD Minh - Vĩnh Long;Cao cấp;Trung bình;Cao;Trung bình;127;0;1;0;0.092249498;0.571208169;0.428791831;70
468;1;GL;AZ080;0.5;G550;;4160;998;0;2;4.16;;1200;2025-10-30;78304512;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;18823;65254;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0109;Bán lẻ;Đại lý VLXD Tú - Long An;Phổ thông;Trung bình;Thấp;Thấp;488;1;0;0;0.092249498;0.738758897;0.261241103;75
469;1;GL;AZ080;0.5;G550;;4170;1002;0;2;4.153386454;;1200;2025-10-30;78492744;Quận Tân Phú;TP. Hồ Chí Minh;2025;10;30;Thứ 5;False;5;2025Q4;Mùa mưa;18823;65411;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0075;Bán sỉ;Công ty VLXD Bình - Phú Yên;Tiêu chuẩn;Trung bình;Trung bình;Thấp;215;0;0;0;0.092471251;0.722788985;0.277211015;90
522;1;GL;AZ080;0.4;G550;;4100;1338;0;2;3.059701493;;1200;2025-10-31;84021300;Quận Bình Tân;TP. Hồ Chí Minh;2025;10;31;Thứ 6;False;5;2025Q4;Mùa mưa;20493;70018;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;1;199;15628940014.0;78537387;48;42799130622;CUST_0029;Bán lẻ;Đại lý VLXD Nam - Bình Dương;Tiêu chuẩn;Trung bình;Trung bình;Trung bình;280;1;0;0;0.098984369;0.734940089;0.265059911;80
526;1;GL;AZ080;0.5;G550;;4360;1046;0;2;4.160305344;;1200;2025-10-31;84548684;Quận Bình Tân;TP. Hồ Chí Minh;2025;10;31;Thứ 6;False;5;2025Q4;Mùa mưa;19392;70457;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0120;Bán lẻ;Đại lý VLXD Tâm - Vĩnh Long;Phổ thông;Thấp;Thấp;Thấp;329;0;0;0;0.099605673;0.817289887;0.182710113;85
527;1;GL;AZ080;0.5;G550;;4180;1002;0;2;4.163346614;;1200;2025-10-31;81058142;Quận Bình Tân;TP. Hồ Chí Minh;2025;10;31;Thứ 6;False;5;2025Q4;Mùa mưa;19392;67548;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;42799130622;CUST_0036;Bán sỉ;Công ty VLXD Bình - Bà Rịa - Vũng Tàu;Tiêu chuẩn;Thấp;Trung bình;Thấp;393;0;0;0;0.095493512;0.629303844;0.370696156;90
530;1;GL;AZ080;0.5;G550;;4140;990;0;2;4.173387097;;1200;2025-10-31;79435422;TP. Tân Uyên;Bình Dương;2025;10;31;Thứ 6;False;5;2025Q4;Mùa mưa;19187;66196;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;10689658678;CUST_0089;Đối tác;Xưởng VLXD Dũng - Bình Thuận;Cao cấp;Trung bình;Cao;Trung bình;110;0;1;0;0.093581807;0.513012295;0.486987705;70
531;1;GL;AZ080;0.45;G550;;4180;1130;0;2;3.692579505;;1200;2025-10-31;82506512;TP. Tân Uyên;Bình Dương;2025;10;31;Thứ 6;False;5;2025Q4;Mùa mưa;19738;68755;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;10689658678;CUST_0021;Bán sỉ;Công ty VLXD Dũng - Gia Lai;Cao cấp;Cao;Cao;Cao;110;0;0;1;0.097199817;0.590816673;0.409183327;70
532;1;GL;AZ080;0.4;G550;;4060;1330;0;2;3.048048048;;1200;2025-10-31;82370904;TP. Tân Uyên;Bình Dương;2025;10;31;Thứ 6;False;5;2025Q4;Mùa mưa;20288;68642;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1554914504.0;0;199;15628940014.0;78537387;48;10689658678;CUST_0036;Bán sỉ;Công ty VLXD Bình - Bà Rịa - Vũng Tàu;Cao cấp;Trung bình;Cao;Trung bình;110;0;0;0;0.09704006;0.508564214;0.491435786;85
561;1;GL;AZ080;0.4;G550;;4070;1330;0;2;3.055555556;;1200;2025-11-12;80339765;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;66950;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;12;199;15628940014.0;78537387;29;42799130622;CUST_0010;Bán sỉ;Công ty VLXD Khánh - Vĩnh Long;Cao cấp;Trung bình;Cao;Trung bình;393;0;1;0;0.094647202;0.600923883;0.399076117;70
562;1;GL;AZ080;0.4;G550;;4090;1334;0;2;3.061377246;;1200;2025-11-12;80734555;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;67279;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0101;Bán lẻ;Đại lý VLXD Đạt - Vĩnh Long;Phổ thông;Thấp;Thấp;Thấp;579;0;0;0;0.095112299;0.779563633;0.220436367;85
563;1;GL;AZ080;0.4;G550;;4090;1338;0;2;3.052238806;;1200;2025-11-12;80734555;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;67279;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0073;Bán lẻ;Đại lý VLXD Phúc - Đồng Nai;Phổ thông;Thấp;Thấp;Thấp;434;0;0;0;0.095112299;0.79941786;0.20058214;85
564;1;GL;AZ080;0.4;G550;;4120;1346;0;2;3.056379822;;1200;2025-11-12;81326740;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;67772;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0024;Bán lẻ;Đại lý VLXD Minh - Bình Định;Phổ thông;Thấp;Thấp;Thấp;564;1;0;0;0.095809944;0.788525616;0.211474384;75
565;1;GL;AZ080;0.4;G550;;3990;1306;0;2;3.050458716;;1200;2025-11-12;78760605;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;65634;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0064;Bán lẻ;Đại lý VLXD Phát - Vĩnh Long;Phổ thông;Thấp;Thấp;Thấp;290;1;0;0;0.092786815;0.763405385;0.236594615;75
566;1;GL;AZ080;0.4;G550;;3970;1298;0;2;3.053846154;;1200;2025-11-12;78361448;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19738;65301;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0099;Bán lẻ;Đại lý VLXD Thịnh - Gia Lai;Phổ thông;Trung bình;Thấp;Thấp;123;0;0;0;0.092316573;0.730131577;0.269868423;85
567;1;GL;AZ080;0.4;G550;;4080;1334;0;2;3.053892216;;1200;2025-11-12;80537160;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;67114;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0049;Bán lẻ;Đại lý VLXD Đạt - Đồng Nai;Tiêu chuẩn;Thấp;Trung bình;Thấp;171;0;0;0;0.09487975;0.64585532;0.35414468;90
568;1;GL;AZ080;0.4;G550;;4110;1346;0;2;3.048961424;;1200;2025-11-12;81129345;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;67608;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0099;Bán lẻ;Đại lý VLXD Thịnh - Gia Lai;Phổ thông;Thấp;Thấp;Thấp;344;0;0;0;0.095577395;0.778675086;0.221324914;85
569;1;GL;AZ080;0.4;G550;;4350;1382;0;2;3.143063584;;1200;2025-11-12;85866825;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;71556;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0112;Bán lẻ;Đại lý VLXD Hùng - Đồng Nai;Tiêu chuẩn;Thấp;Trung bình;Trung bình;299;0;1;0;0.101158557;0.697780214;0.302219786;75
570;1;GL;AZ080;0.4;G550;;4360;1386;0;2;3.141210375;;1200;2025-11-12;86064220;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;71720;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0036;Bán sỉ;Công ty VLXD Bình - Bà Rịa - Vũng Tàu;Cao cấp;Trung bình;Cao;Cao;521;0;1;0;0.101391106;0.616922453;0.383077547;55
571;1;GL;AZ080;0.4;G550;;4400;1398;0;2;3.142857143;;1200;2025-11-12;86853800;Quận Tân Phú;TP. Hồ Chí Minh;2025;11;12;Thứ 4;False;2;2025Q4;Mùa khô;19740;72378;Trung bình;Cao;Tôn Kẽm;Trung bình;KHÔNGMÀU;Tôn Kẽm_Trung bình_G550_KHÔNGMÀU;1264222806.0;0;199;15628940014.0;78537387;29;42799130622;CUST_0082;Bán sỉ;Công ty VLXD Hải - Tỉnh Khánh Hòa;Cao cấp;Trung bình;Cao;Cao;480;0;1;0;0.102321299;0.615075608;0.384924392;55
